Date,OO,OO_bi_0,OO_ter_0.005,OO_ter_0.01,OC,OC_bi_0,OC_ter_0.005,OC_ter_0.01,CO,CO_bi_0,CO_ter_0.005,CO_ter_0.01,CC,CC_bi_0,CC_ter_0.005,CC_ter_0.01
2019-12-04,-0.0092939789637308,sell,sell,neutral,-0.0096295196217066,sell,sell,neutral,-0.0121218032753157,sell,sell,sell,-0.0124563861819405,sell,sell,sell
2019-12-05,0.0087881442121962,buy,buy,neutral,0.0055865235420291,buy,buy,neutral,0.0091299248330583,buy,buy,neutral,0.0059272194436599,buy,buy,neutral
2019-12-06,0.0016991858151513,buy,neutral,neutral,0.0075230243353915,buy,buy,neutral,0.0048884298468821,buy,neutral,neutral,0.0107308105028307,buy,buy,buy
2019-12-09,0.0064061570752853,buy,buy,neutral,0.0056758443448618,buy,buy,neutral,0.0005887744418233,buy,neutral,neutral,-0.0001373168233747,sell,neutral,neutral
2019-12-10,-0.0050909186806218,sell,sell,neutral,-0.0029173888500556,sell,neutral,neutral,-0.0043684246764281,sell,neutral,neutral,-0.0021933164480967,sell,neutral,neutral
2019-12-11,0.0011789537468525,buy,neutral,neutral,0.010100441705983,buy,buy,buy,-0.0010035056575835,sell,neutral,neutral,0.0078985344443731,buy,buy,neutral
2019-12-12,0.0162002330134538,buy,buy,buy,0.0221146836192311,buy,buy,buy,0.0072248700014513,buy,buy,neutral,0.013087082534968,buy,buy,buy
2019-12-13,0.0244642593984072,buy,buy,buy,0.0316648867169661,buy,buy,buy,0.0185362130091889,buy,buy,buy,0.0256951740105635,buy,buy,buy
2019-12-16,0.0013089971300377,buy,neutral,neutral,0.0004939196312559,buy,neutral,neutral,-0.0056797576602871,sell,sell,neutral,-0.006489146229088,sell,sell,neutral
2019-12-17,0.0036392166188408,buy,neutral,neutral,0.0113768706525489,buy,buy,buy,0.004456856512807,buy,neutral,neutral,0.012200814220703,buy,buy,buy
2019-12-18,0.0091753586100373,buy,buy,neutral,0.0091753586100373,buy,buy,neutral,0.0014545474951564,buy,neutral,neutral,0.0014545474951563,buy,neutral,neutral
