Date,Open,High,Low,Close,Adj Close,Volume
2017-03-14,7.204500,7.204500,7.204500,7.204500,7.204500,0
2017-03-15,7.206000,7.206000,7.206000,7.206000,7.206000,0
2017-03-16,7.039200,7.039200,7.039200,7.039200,7.039200,0
2017-03-17,7.047600,7.047600,7.047600,7.047600,7.047600,0
2017-03-20,6.976900,6.976900,6.976900,6.976900,6.976900,0
2017-03-21,6.957100,6.957100,6.957100,6.957100,6.957100,0
2017-03-22,7.043700,7.043700,7.043700,7.043700,7.043700,0
2017-03-23,7.029800,7.029800,7.029800,7.029800,7.029800,0
2017-03-24,7.020000,7.050000,7.010000,7.030000,7.030000,9184500
2017-03-27,7.100000,7.100000,7.000000,7.060000,7.060000,9313100
2017-03-28,7.030000,7.040000,7.010000,7.020000,7.020000,3371300
2017-03-29,7.000000,7.030000,6.990000,7.010000,7.010000,6820600
2017-03-30,7.010000,7.060000,7.010000,7.040000,7.040000,3695900
2017-03-31,7.040000,7.100000,7.030000,7.080000,7.080000,6184000
2017-04-03,7.060000,7.080000,7.050000,7.060000,7.060000,3332600
2017-04-05,7.040000,7.090000,7.010000,7.030000,7.030000,4683700
2017-04-06,7.040000,7.070000,7.020000,7.050000,7.050000,8910500
2017-04-07,7.070000,7.140000,7.040000,7.050000,7.050000,11997600
2017-04-10,7.040000,7.060000,7.020000,7.060000,7.060000,6017600
2017-04-11,7.050000,7.130000,7.040000,7.100000,7.100000,5468200
2017-04-12,7.120000,7.130000,7.040000,7.040000,7.040000,3396100
2017-04-13,7.080000,7.080000,7.010000,7.050000,7.050000,4764200
2017-04-18,7.080000,7.170000,7.080000,7.160000,7.160000,7111600
2017-04-19,7.190000,7.210000,7.160000,7.170000,7.170000,5304400
2017-04-20,7.170000,7.180000,7.100000,7.110000,7.110000,5340600
2017-04-21,7.100000,7.130000,7.060000,7.120000,7.120000,5627200
2017-04-24,7.080000,7.140000,7.060000,7.080000,7.080000,6398800
2017-04-25,7.070000,7.070000,6.990000,7.000000,7.000000,6262900
2017-04-26,6.980000,6.980000,6.930000,6.960000,6.960000,6984400
2017-04-27,6.970000,6.990000,6.900000,6.920000,6.920000,6512000
2017-04-28,6.920000,6.950000,6.920000,6.940000,6.940000,4265600
2017-05-02,6.940000,6.950000,6.890000,6.920000,6.920000,5838000
2017-05-04,6.950000,6.960000,6.920000,6.930000,6.930000,3739200
2017-05-05,6.960000,7.020000,6.940000,6.990000,6.990000,6544900
2017-05-08,6.960000,6.980000,6.940000,6.970000,6.970000,3986600
2017-05-09,6.950000,6.970000,6.850000,6.860000,6.860000,7716800
2017-05-10,6.850000,6.850000,6.780000,6.830000,6.830000,12214800
2017-05-11,6.820000,6.820000,6.780000,6.800000,6.800000,20685500
2017-05-12,6.800000,6.810000,6.780000,6.800000,6.800000,12896200
2017-05-15,6.780000,6.780000,6.710000,6.710000,6.710000,13131500
2017-05-16,6.710000,6.740000,6.710000,6.710000,6.710000,5793200
2017-05-17,6.720000,6.750000,6.720000,6.730000,6.730000,4995600
2017-05-18,6.800000,6.800000,6.740000,6.770000,6.770000,28368500
2017-05-19,6.750000,6.770000,6.730000,6.740000,6.740000,17618700
2017-05-22,6.730000,6.750000,6.690000,6.700000,6.700000,17728100
2017-05-23,6.700000,6.710000,6.680000,6.700000,6.700000,8585300
2017-05-24,6.710000,6.720000,6.690000,6.690000,6.690000,23986900
2017-05-25,6.680000,6.680000,6.620000,6.620000,6.620000,18057900
2017-05-26,6.620000,6.640000,6.600000,6.620000,6.620000,4308400
2017-05-29,6.640000,6.640000,6.590000,6.600000,6.600000,16440000
2017-05-31,6.600000,6.620000,6.570000,6.610000,6.610000,17639600
2017-06-01,6.610000,6.620000,6.580000,6.580000,6.580000,12700800
2017-06-02,6.560000,6.560000,6.530000,6.550000,6.550000,10550300
2017-06-05,6.540000,6.570000,6.530000,6.570000,6.570000,5866300
2017-06-06,6.570000,6.570000,6.520000,6.520000,6.520000,3551700
2017-06-07,6.510000,6.540000,6.510000,6.540000,6.540000,4409200
2017-06-08,6.560000,6.560000,6.490000,6.500000,6.500000,7630100
2017-06-09,6.500000,6.530000,6.500000,6.500000,6.500000,16693700
2017-06-12,6.550000,6.590000,6.530000,6.590000,6.590000,11371400
2017-06-13,6.650000,6.650000,6.530000,6.540000,6.540000,7361500
2017-06-14,6.550000,6.590000,6.540000,6.550000,6.550000,11835099
2017-06-15,6.610000,6.630000,6.600000,6.620000,6.620000,9724800
2017-06-16,6.610000,6.620000,6.580000,6.610000,6.610000,6703700
2017-06-19,6.580000,6.580000,6.520000,6.530000,6.530000,9317600
2017-06-20,6.510000,6.550000,6.500000,6.550000,6.550000,12034700
2017-06-21,6.550000,6.620000,6.550000,6.590000,6.590000,6471000
2017-06-22,6.600000,6.600000,6.530000,6.580000,6.580000,16602300
2017-06-23,6.560000,6.570000,6.540000,6.570000,6.570000,12713400
2017-06-26,6.540000,6.540000,6.510000,6.510000,6.510000,12765200
2017-06-27,6.500000,6.540000,6.500000,6.530000,6.530000,9611500
2017-06-28,6.540000,6.580000,6.530000,6.550000,6.550000,7900500
2017-06-29,6.510000,6.520000,6.480000,6.520000,6.520000,15636800
2017-06-30,6.560000,6.560000,6.530000,6.530000,6.530000,10029100
2017-07-03,6.540000,6.540000,6.510000,6.520000,6.520000,11359900
2017-07-04,6.510000,6.650000,6.500000,6.610000,6.610000,13940800
2017-07-05,6.620000,6.660000,6.570000,6.580000,6.580000,10087900
2017-07-06,6.590000,6.590000,6.550000,6.580000,6.580000,6520000
2017-07-07,6.610000,6.620000,6.590000,6.610000,6.610000,8133500
2017-07-10,6.610000,6.610000,6.540000,6.560000,6.560000,8139700
2017-07-11,6.540000,6.540000,6.440000,6.450000,6.450000,14246000
2017-07-12,6.430000,6.430000,6.390000,6.420000,6.420000,16851000
2017-07-13,6.380000,6.380000,6.330000,6.340000,6.340000,17005300
2017-07-14,6.330000,6.350000,6.330000,6.330000,6.330000,9349400
2017-07-17,6.310000,6.330000,6.280000,6.320000,6.320000,9259500
2017-07-18,6.320000,6.330000,6.300000,6.320000,6.320000,11874200
2017-07-19,6.300000,6.300000,6.260000,6.270000,6.270000,8340700
2017-07-20,6.250000,6.270000,6.240000,6.260000,6.260000,4026100
2017-07-21,6.250000,6.270000,6.240000,6.250000,6.250000,4316600
2017-07-24,6.260000,6.260000,6.210000,6.220000,6.220000,10838700
2017-07-25,6.220000,6.230000,6.210000,6.220000,6.220000,3619600
2017-07-26,6.200000,6.240000,6.190000,6.210000,6.210000,7434000
2017-07-27,6.200000,6.200000,6.150000,6.150000,6.150000,6577100
2017-07-28,6.200000,6.210000,6.180000,6.200000,6.200000,7693200
2017-07-31,6.180000,6.180000,6.120000,6.130000,6.130000,6342700
2017-08-01,6.120000,6.120000,6.060000,6.070000,6.070000,12048900
2017-08-02,6.040000,6.060000,6.020000,6.040000,6.040000,5915000
2017-08-03,6.070000,6.090000,6.050000,6.060000,6.060000,9493200
2017-08-04,6.050000,6.060000,6.050000,6.060000,6.060000,8373000
2017-08-07,6.050000,6.050000,6.010000,6.040000,6.040000,7604600
2017-08-08,6.040000,6.040000,5.990000,6.000000,6.000000,12024800
2017-08-09,6.010000,6.050000,6.000000,6.020000,6.020000,9505600
2017-08-10,6.010000,6.120000,6.010000,6.070000,6.070000,14842900
2017-08-11,6.200000,6.210000,6.130000,6.200000,6.200000,19601800
2017-08-14,6.160000,6.160000,6.110000,6.120000,6.120000,24769500
2017-08-15,6.100000,6.140000,6.080000,6.140000,6.140000,15701700
2017-08-16,6.120000,6.120000,6.080000,6.090000,6.090000,11611500
2017-08-17,6.050000,6.110000,6.040000,6.100000,6.100000,8497500
2017-08-18,6.180000,6.180000,6.120000,6.160000,6.160000,7416800
2017-08-21,6.150000,6.150000,6.120000,6.130000,6.130000,9247200
2017-08-22,6.100000,6.100000,6.050000,6.060000,6.060000,7801100
2017-08-23,6.060000,6.060000,6.060000,6.060000,6.060000,0
2017-08-24,6.040000,6.060000,6.020000,6.050000,6.050000,10530300
2017-08-25,6.050000,6.060000,5.970000,5.970000,5.970000,15243500
2017-08-28,5.950000,5.980000,5.920000,5.970000,5.970000,10590000
2017-08-29,6.000000,6.010000,5.970000,5.980000,5.980000,10314100
2017-08-30,5.950000,5.960000,5.900000,5.920000,5.920000,8643700
2017-08-31,5.900000,5.950000,5.900000,5.940000,5.940000,8374700
2017-09-01,5.920000,5.940000,5.890000,5.930000,5.930000,7310700
2017-09-04,5.960000,5.990000,5.940000,5.970000,5.970000,14891200
2017-09-05,5.970000,5.980000,5.940000,5.970000,5.970000,9601700
2017-09-06,5.990000,6.040000,5.980000,6.000000,6.000000,10050500
2017-09-07,5.980000,6.030000,5.960000,6.020000,6.020000,7554900
2017-09-08,5.990000,6.000000,5.970000,5.990000,5.990000,7248800
2017-09-11,5.930000,5.930000,5.900000,5.920000,5.920000,11021400
2017-09-12,5.890000,5.930000,5.890000,5.920000,5.920000,9976400
2017-09-13,5.930000,5.960000,5.920000,5.930000,5.930000,7488300
2017-09-14,5.950000,5.970000,5.930000,5.950000,5.950000,4867200
2017-09-15,5.980000,6.010000,5.930000,5.950000,5.950000,6416800
2017-09-18,5.910000,5.910000,5.870000,5.870000,5.870000,7404300
2017-09-19,5.860000,5.890000,5.850000,5.890000,5.890000,4892400
2017-09-20,5.890000,5.890000,5.870000,5.880000,5.880000,8567000
2017-09-21,5.880000,5.900000,5.860000,5.870000,5.870000,5256600
2017-09-22,5.920000,5.940000,5.910000,5.920000,5.920000,6517600
2017-09-25,5.920000,6.010000,5.920000,6.000000,6.000000,9971700
2017-09-26,6.050000,6.050000,5.990000,6.000000,6.000000,6654400
2017-09-27,6.000000,6.000000,5.960000,5.970000,5.970000,6850000
2017-09-28,5.950000,6.020000,5.950000,6.020000,6.020000,16448500
2017-09-29,6.010000,6.030000,5.990000,5.990000,5.990000,3785100
2017-10-03,5.940000,5.960000,5.840000,5.870000,5.870000,15008700
2017-10-04,5.830000,5.830000,5.780000,5.810000,5.810000,7613200
2017-10-06,5.780000,5.810000,5.760000,5.790000,5.790000,13906700
2017-10-09,5.780000,5.830000,5.780000,5.810000,5.810000,6102500
2017-10-10,5.820000,5.840000,5.780000,5.780000,5.780000,5121000
2017-10-11,5.770000,5.830000,5.760000,5.820000,5.820000,3847300
2017-10-12,5.820000,5.820000,5.770000,5.790000,5.790000,5609500
2017-10-13,5.810000,5.810000,5.780000,5.780000,5.780000,4078000
2017-10-16,5.760000,5.760000,5.720000,5.740000,5.740000,6993700
2017-10-17,5.740000,5.750000,5.730000,5.740000,5.740000,2967000
2017-10-18,5.750000,5.750000,5.730000,5.750000,5.750000,4010000
2017-10-19,5.730000,5.870000,5.730000,5.840000,5.840000,11293300
2017-10-20,5.830000,5.830000,5.770000,5.780000,5.780000,11738900
2017-10-23,5.780000,5.830000,5.770000,5.810000,5.810000,2937500
2017-10-24,5.830000,5.860000,5.810000,5.850000,5.850000,4045300
2017-10-25,5.820000,5.840000,5.800000,5.820000,5.820000,6161800
2017-10-26,5.850000,5.860000,5.820000,5.840000,5.840000,3441900
2017-10-27,5.820000,5.820000,5.770000,5.790000,5.790000,2934600
2017-10-30,5.750000,5.820000,5.750000,5.800000,5.800000,7099500
2017-10-31,5.840000,5.840000,5.800000,5.810000,5.810000,1508300
2017-11-01,5.800000,5.810000,5.750000,5.760000,5.760000,2840200
2017-11-02,5.760000,5.780000,5.750000,5.770000,5.770000,3905000
2017-11-03,5.760000,5.760000,5.750000,5.760000,5.760000,1486100
2017-11-06,5.760000,5.850000,5.750000,5.750000,5.750000,12366700
2017-11-07,5.720000,5.720000,5.660000,5.680000,5.680000,6094400
2017-11-08,5.690000,5.690000,5.640000,5.680000,5.680000,3652400
2017-11-09,5.670000,5.680000,5.640000,5.640000,5.640000,2646600
2017-11-10,5.650000,5.670000,5.630000,5.650000,5.650000,832400
2017-11-13,5.650000,5.650000,5.630000,5.630000,5.630000,727400
2017-11-14,5.620000,5.640000,5.620000,5.640000,5.640000,906900
2017-11-15,5.660000,5.690000,5.660000,5.690000,5.690000,878000
2017-11-16,5.680000,5.690000,5.650000,5.660000,5.660000,1955900
2017-11-17,5.640000,5.640000,5.610000,5.640000,5.640000,5305200
2017-11-20,5.630000,5.660000,5.620000,5.620000,5.620000,4811300
2017-11-21,5.600000,5.610000,5.510000,5.510000,5.510000,11115600
2017-11-22,5.490000,5.490000,5.440000,5.470000,5.470000,6979400
2017-11-23,5.460000,5.550000,5.450000,5.520000,5.520000,5624300
2017-11-24,5.520000,5.530000,5.480000,5.490000,5.490000,4825400
2017-11-27,5.490000,5.540000,5.490000,5.530000,5.530000,3624600
2017-11-28,5.560000,5.590000,5.520000,5.530000,5.530000,3220200
2017-11-29,5.520000,5.550000,5.500000,5.540000,5.540000,1939200
2017-11-30,5.590000,5.640000,5.590000,5.610000,5.610000,3828700
2017-12-01,5.610000,5.660000,5.590000,5.640000,5.640000,10583900
2017-12-04,5.680000,5.700000,5.600000,5.620000,5.620000,6953900
2017-12-05,5.660000,5.690000,5.640000,5.690000,5.690000,2373900
2017-12-06,5.690000,5.820000,5.680000,5.820000,5.820000,17598600
2017-12-07,5.810000,5.830000,5.760000,5.790000,5.790000,6275500
2017-12-08,5.780000,5.800000,5.720000,5.740000,5.740000,5215600
2017-12-11,5.730000,5.730000,5.660000,5.670000,5.670000,4990700
2017-12-12,5.650000,5.710000,5.650000,5.700000,5.700000,3560500
2017-12-13,5.700000,5.710000,5.600000,5.610000,5.610000,4050500
2017-12-14,5.580000,5.650000,5.580000,5.620000,5.620000,3229600
2017-12-15,5.660000,5.710000,5.660000,5.690000,5.690000,5002900
2017-12-18,5.660000,5.690000,5.630000,5.640000,5.640000,3757300
2017-12-19,5.620000,5.620000,5.580000,5.610000,5.610000,2012400
2017-12-20,5.620000,5.620000,5.590000,5.600000,5.600000,1333800
2017-12-21,5.620000,5.620000,5.570000,5.580000,5.580000,4779800
2017-12-22,5.560000,5.570000,5.540000,5.550000,5.550000,3047700
2017-12-27,5.520000,5.550000,5.520000,5.540000,5.540000,1251000
2017-12-28,5.540000,5.540000,5.480000,5.480000,5.480000,2654200
2017-12-29,5.480000,5.490000,5.470000,5.480000,5.480000,1150300
2018-01-02,5.450000,5.460000,5.370000,5.370000,5.370000,5279500
2018-01-03,5.360000,5.380000,5.340000,5.370000,5.370000,4099600
2018-01-04,5.370000,5.370000,5.330000,5.350000,5.350000,3238000
2018-01-05,5.330000,5.350000,5.310000,5.340000,5.340000,2448100
2018-01-08,5.300000,5.340000,5.300000,5.320000,5.320000,2523000
2018-01-09,5.320000,5.320000,5.290000,5.300000,5.300000,4489000
2018-01-10,5.300000,5.310000,5.240000,5.290000,5.290000,5122200
2018-01-11,5.290000,5.300000,5.270000,5.280000,5.280000,3789100
2018-01-12,5.250000,5.260000,5.230000,5.240000,5.240000,2783100
2018-01-15,5.230000,5.250000,5.180000,5.230000,5.230000,7208800
2018-01-16,5.220000,5.230000,5.140000,5.150000,5.150000,6414000
2018-01-17,5.200000,5.200000,5.130000,5.140000,5.140000,3941900
2018-01-18,5.110000,5.150000,5.090000,5.110000,5.110000,4898200
2018-01-19,5.110000,5.130000,5.100000,5.110000,5.110000,2673800
2018-01-22,5.100000,5.130000,5.060000,5.090000,5.090000,3668700
2018-01-23,5.070000,5.070000,4.980000,4.990000,4.990000,14867500
2018-01-24,4.980000,5.020000,4.970000,4.980000,4.980000,4196400
2018-01-25,4.980000,5.030000,4.970000,5.030000,5.030000,5645900
2018-01-26,5.020000,5.020000,4.940000,4.950000,4.950000,9028000
2018-01-29,4.950000,4.980000,4.900000,4.970000,4.970000,8757500
2018-01-30,4.990000,5.050000,4.970000,5.030000,5.030000,13259600
2018-01-31,5.100000,5.100000,4.980000,4.990000,4.990000,16045900
2018-02-01,4.990000,5.030000,4.960000,5.030000,5.030000,7621900
2018-02-02,5.030000,5.080000,5.000000,5.020000,5.020000,14014200
2018-02-05,5.160000,5.160000,5.060000,5.080000,5.080000,16108440
2018-02-06,5.240000,5.350000,5.240000,5.340000,5.340000,32816000
2018-02-07,5.200000,5.410000,5.200000,5.400000,5.400000,60627800
2018-02-08,5.400000,5.410000,5.330000,5.380000,5.380000,56555000
2018-02-09,5.550000,5.600000,5.500000,5.550000,5.550000,36685800
2018-02-12,5.550000,5.550000,5.480000,5.550000,5.550000,14992900
2018-02-13,5.460000,5.490000,5.420000,5.490000,5.490000,24804200
2018-02-14,5.450000,5.460000,5.320000,5.340000,5.340000,20564300
2018-02-15,5.280000,5.310000,5.250000,5.260000,5.260000,11301400
2018-02-20,5.260000,5.320000,5.210000,5.300000,5.300000,20306600
2018-02-21,5.300000,5.300000,5.190000,5.200000,5.200000,12599700
2018-02-22,5.250000,5.270000,5.230000,5.260000,5.260000,12039700
2018-02-23,5.240000,5.240000,5.190000,5.210000,5.210000,12542300
2018-02-26,5.200000,5.200000,5.150000,5.170000,5.170000,11020300
2018-02-27,5.150000,5.230000,5.120000,5.210000,5.210000,13063000
2018-02-28,5.250000,5.310000,5.250000,5.290000,5.290000,28621500
2018-03-01,5.350000,5.360000,5.230000,5.250000,5.250000,25544300
2018-03-02,5.320000,5.350000,5.300000,5.330000,5.330000,16826000
2018-03-05,5.350000,5.460000,5.300000,5.450000,5.450000,31312000
2018-03-06,5.360000,5.400000,5.310000,5.330000,5.330000,27336300
2018-03-07,5.390000,5.410000,5.300000,5.380000,5.380000,25228500
2018-03-08,5.340000,5.340000,5.280000,5.300000,5.300000,35650300
2018-03-09,5.250000,5.270000,5.230000,5.250000,5.250000,12764120
2018-03-12,5.150000,5.180000,5.130000,5.140000,5.140000,19565100
2018-03-13,5.150000,5.150000,5.110000,5.140000,5.140000,8173810
2018-03-14,5.200000,5.220000,5.150000,5.150000,5.150000,7761800
2018-03-15,5.200000,5.220000,5.130000,5.140000,5.140000,8498710
2018-03-16,5.140000,5.180000,5.130000,5.160000,5.160000,5187500
2018-03-19,5.160000,5.200000,5.120000,5.150000,5.150000,7871500
2018-03-20,5.200000,5.210000,5.140000,5.140000,5.140000,12590210
2018-03-21,5.110000,5.170000,5.070000,5.170000,5.170000,19843600
2018-03-22,5.170000,5.240000,5.120000,5.230000,5.230000,26914100
2018-03-23,5.500000,5.500000,5.340000,5.350000,5.350000,48930100
2018-03-26,5.360000,5.410000,5.300000,5.310000,5.310000,34220000
2018-03-27,5.240000,5.270000,5.230000,5.250000,5.250000,19623800
2018-03-28,5.320000,5.400000,5.290000,5.390000,5.390000,34309100
2018-03-29,5.370000,5.440000,5.350000,5.380000,5.380000,66119000
2018-04-03,5.430000,5.440000,5.340000,5.370000,5.370000,31865700
2018-04-04,5.360000,5.470000,5.330000,5.470000,5.470000,23460000
2018-04-06,5.400000,5.470000,5.390000,5.420000,5.420000,32986800
2018-04-09,5.420000,5.420000,5.280000,5.340000,5.340000,33147100
2018-04-10,5.350000,5.350000,5.240000,5.260000,5.260000,38082300
2018-04-11,5.240000,5.260000,5.210000,5.220000,5.220000,21368500
2018-04-12,5.220000,5.280000,5.190000,5.240000,5.240000,20624600
2018-04-13,5.210000,5.260000,5.200000,5.230000,5.230000,21238600
2018-04-16,5.230000,5.350000,5.230000,5.330000,5.330000,19215600
2018-04-17,5.310000,5.380000,5.280000,5.360000,5.360000,30678900
2018-04-18,5.320000,5.380000,5.290000,5.330000,5.330000,26343000
2018-04-19,5.300000,5.300000,5.240000,5.260000,5.260000,27172900
2018-04-20,5.270000,5.330000,5.220000,5.320000,5.320000,24359200
2018-04-23,5.310000,5.350000,5.290000,5.340000,5.340000,20940900
2018-04-24,5.330000,5.330000,5.250000,5.260000,5.260000,19030400
