Date,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2019-12-16,27.799999,27.700001,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-17,27.9,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-18,28.049999,28.049999,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-19,28.15,28.0,1.0,7.0,99474.46301369862,98000.0,1474.4630136986234,0.536986301369863,-524.999999999995
2019-12-20,28.0,28.15,0.0,7.0,99998.92315068493,98524.99999999999,1473.9231506849464,0.5398630136986301,524.999999999995
2019-12-23,28.200001,28.1,1.0,7.0,99648.38074657535,98350.00000000001,1298.3807465753343,0.5389041095890412,-350.00349999999617
2019-12-24,28.1,28.0,0.0,7.0,99297.84376027397,98000.0,1297.8437602739723,0.536986301369863,-350.000000000005
2019-12-27,28.299999,28.4,0.0,7.0,99647.30260273971,99399.99999999999,247.30260273972817,0.5446575342465753,350.00349999999617
2019-12-30,28.450001,28.549999,0.0,7.0,99996.74806851232,99924.9965,71.75156851232168,0.5475342273972602,349.9929999999978
2019-12-31,28.549999,28.549999,0.0,7.0,99996.20053428492,99924.9965,71.20403428492136,0.5475342273972602,0.0
2020-01-02,28.5,28.700001,0.0,7.0,100695.65362330683,100450.0035,245.65012330682657,0.5504109780821919,700.0035000000012
2020-01-03,29.0,28.65,1.0,7.0,99470.10417125204,100274.99999999999,-804.8958287479472,0.5494520547945205,-1225.000000000005
2020-01-06,28.450001,28.450001,0.0,7.0,99469.55855479451,99575.0035,-105.44494520549779,0.5456164575342466,0.0
2020-01-07,28.549999,28.450001,0.0,7.0,99119.01993833698,99575.0035,-455.98356166302983,0.5456164575342466,-349.9929999999978
2020-01-08,28.1,28.25,-1.0,-7.0,98593.47815751506,98875.0,-281.5218424849445,0.5417808219178082,-524.999999999995
2020-01-09,28.549999,28.799999,1.0,6.0,99343.00473287396,86399.997,12943.007732873957,0.4734246410958904,750.0
2020-01-10,28.85,28.799999,1.0,6.0,99192.52830823285,86399.997,12792.53130823285,0.4734246410958904,-150.00300000000522
2020-01-13,28.9,29.15,1.0,6.0,99942.04913015066,87449.99999999999,12492.04913015067,0.47917808219178076,750.0
2020-01-14,29.35,29.049999,1.0,6.0,99041.5685959205,87149.997,11891.571595920497,0.4775342301369863,-900.0030000000052
2020-01-15,29.1,28.950001,0.0,6.0,98591.0957054931,86850.003,11741.092705493109,0.4758904273972603,-449.9970000000033
2020-01-16,29.0,29.0,0.0,6.0,98590.61899316435,87000.0,11590.618993164346,0.4767123287671233,0.0
2020-01-17,29.15,29.200001,1.0,6.0,98740.14199314792,87600.003,11140.13899314792,0.48000001643835616,150.00300000000522
2020-01-20,29.299999,28.950001,1.0,6.0,97689.67210272053,86850.003,10839.669102720538,0.4758904273972603,-1049.993999999998
2020-01-21,28.799999,28.15,-1.0,-6.0,99639.2063629945,84449.99999999999,15189.206362994519,0.4627397260273972,1949.9970000000033
2020-01-22,28.299999,28.549999,0.0,-6.0,98888.73704794244,85649.997,13238.74004794244,0.4693150520547945,-750.0
2020-01-23,28.25,28.0,-1.0,-6.0,99638.27677396985,84000.0,15638.276773969847,0.4602739726027397,750.0
2020-01-24,28.0,28.1,0.0,-6.0,99337.81485616163,84300.00000000001,15037.81485616161,0.46191780821917816,-300.00000000000426
2020-01-29,27.25,27.299999,-1.0,-6.0,99187.36908905477,81899.997,17287.37208905477,0.4487671068493151,-149.99699999999905
2020-01-30,27.200001,26.65,-1.0,-6.0,100836.934006863,79949.99999999999,20886.93400686301,0.43808219178082186,1650.0030000000052
