,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2019-12-16,27.799999,27.700001,1.0,7.0,99649.79450684164,96950.0035,2699.7910068416386,0.2124931583561644,-349.9929999999978
2019-12-17,27.9,28.0,0.0,7.0,99999.5797123211,98000.0,1999.5797123210941,0.21479452054794523,350.000000000005
2019-12-18,28.049999,28.049999,0.0,7.0,99999.36453424658,98174.9965,1824.3680342465814,0.21517807452054796,0.0
2019-12-19,28.15,28.0,0.0,7.0,99474.14973972602,98000.0,1474.1497397260246,0.21479452054794523,-524.999999999995
2019-12-20,28.0,28.15,0.0,7.0,99998.93379452055,98524.99999999999,1473.9337945205625,0.21594520547945203,524.999999999995
2019-12-23,28.200001,28.1,0.0,7.0,99648.71473287672,98350.00000000001,1298.7147328767023,0.2155616438356165,-350.00349999999617
2019-12-24,28.1,28.0,0.0,7.0,99298.49993835617,98000.0,1298.4999383561662,0.21479452054794523,-350.000000000005
2019-12-27,28.299999,28.4,0.0,7.0,99648.28557534247,99399.99999999999,248.28557534248102,0.21786301369863012,350.00349999999617
2019-12-30,28.450001,28.549999,0.0,7.0,99998.0595616515,99924.9965,73.06306165151182,0.21901369095890408,349.9929999999978
2019-12-31,28.549999,28.549999,0.0,7.0,99997.84054796054,99924.9965,72.84404796054878,0.21901369095890408,0.0
2020-01-02,28.5,28.700001,0.0,7.0,100697.62388356932,100450.0035,247.6203835693159,0.22016439123287673,700.0035000000012
2020-01-03,29.0,28.65,0.0,7.0,99472.4041027474,100274.99999999999,-802.5958972525841,0.2197808219178082,-1225.000000000005
2020-01-06,28.450001,28.450001,0.0,7.0,99472.18585616439,99575.0035,-102.81764383561676,0.21824658301369868,0.0
2020-01-07,28.549999,28.450001,0.0,7.0,99121.97460958138,99575.0035,-453.0288904186309,0.21824658301369868,-349.9929999999978
2020-01-08,28.1,28.25,0.0,7.0,99646.75789725261,98875.0,771.7578972526098,0.21671232876712332,524.999999999995
2020-01-09,28.549999,28.799999,0.0,7.0,100521.53696575343,100799.9965,-278.4595342465618,0.2209314991780822,875.0
2020-01-10,28.85,28.799999,0.0,7.0,100346.31253425425,100799.9965,-453.6839657457458,0.2209314991780822,-175.00350000000608
2020-01-13,28.9,29.15,0.0,7.0,101221.0889178159,102024.99999999999,-803.9110821840877,0.22361643835616435,875.0
2020-01-14,29.35,29.049999,0.0,7.0,100170.8625685085,101674.9965,-1504.1339314914949,0.22284930739726028,-1050.0035000000062
2020-01-15,29.1,28.950001,0.0,7.0,99645.64398630903,101325.0035,-1679.3595136909717,0.22208219945205482,-524.9965000000038
2020-01-16,29.0,29.0,0.0,7.0,99645.42152055561,101500.0,-1854.5784794443898,0.22246575342465755,0.0
2020-01-17,29.15,29.200001,0.0,7.0,99820.20102054795,102200.0035,-2379.8024794520607,0.2240000076712329,175.00350000000608
2020-01-20,29.299999,28.950001,0.0,7.0,98594.98593834849,101325.0035,-2730.017561651519,0.22208219945205482,-1224.9929999999977
2020-01-21,28.799999,28.15,0.0,7.0,96319.773493143,98524.99999999999,-2205.226506856983,0.21594520547945203,-2274.996500000004
2020-01-22,28.299999,28.549999,0.0,7.0,97194.55447945204,99924.9965,-2730.4420205479546,0.21901369095890408,875.0
2020-01-23,28.25,28.0,0.0,7.0,96319.33968493149,98000.0,-1680.6603150685114,0.21479452054794523,-875.0
2020-01-24,28.0,28.1,0.0,7.0,96669.12412328765,98350.00000000001,-1680.8758767123654,0.2155616438356165,350.000000000005
2020-01-29,27.25,27.299999,0.0,7.0,96843.91119863778,95549.9965,1293.9146986377891,0.20942464986301368,174.9964999999989
2020-01-30,27.200001,26.65,0.0,7.0,94918.70326028162,93274.99999999999,1643.7032602816325,0.20443835616438352,-1925.0035000000062
