,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2019-12-16,27.799999,27.700001,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-17,27.9,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-18,28.049999,28.049999,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-19,28.15,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-20,28.0,28.15,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-23,28.200001,28.1,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-24,28.1,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-27,28.299999,28.4,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-30,28.450001,28.549999,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-31,28.549999,28.549999,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2020-01-02,28.5,28.700001,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2020-01-03,29.0,28.65,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2020-01-06,28.450001,28.450001,-1.0,-7.0,99999.78175341699,99575.0035,424.7782534169819,0.21824658301369868,-0.0
2020-01-07,28.549999,28.450001,-1.0,-7.0,100349.55650683398,99575.0035,774.5530068339722,0.21824658301369868,349.9929999999978
2020-01-08,28.1,28.25,0.0,-7.0,99824.33979450521,98875.0,949.3397945052129,0.21671232876712332,-524.999999999995
2020-01-09,28.549999,28.799999,0.0,-7.0,98949.11886300604,100799.9965,-1850.8776369939587,0.2209314991780822,-875.0
2020-01-10,28.85,28.799999,1.0,6.0,98798.92649314959,86399.997,12398.929493149582,0.1893698564383562,-150.00300000000522
2020-01-13,28.9,29.15,0.0,6.0,99548.7348219167,87449.99999999999,12098.734821916718,0.1916712328767123,750.0
2020-01-14,29.35,29.049999,0.0,6.0,98648.54080822464,87149.997,11498.54380822464,0.19101369205479451,-900.0030000000052
2020-01-15,29.1,28.950001,0.0,6.0,98198.35345205368,86850.003,11348.35045205368,0.19035617095890411,-449.9970000000033
2020-01-16,29.0,29.0,0.0,6.0,98198.16276712216,87000.0,11198.162767122165,0.19068493150684934,0.0
2020-01-17,29.15,29.200001,0.0,6.0,98347.9737671156,87600.003,10747.970767115607,0.19200000657534247,150.00300000000522
2020-01-20,29.299999,28.950001,1.0,6.0,97297.78941094465,86850.003,10447.786410944653,0.19035617095890411,-1049.993999999998
2020-01-21,28.799999,28.15,-1.0,-6.0,99247.60131505424,84449.99999999999,14797.601315054257,0.18509589041095886,1949.9970000000033
2020-01-22,28.299999,28.549999,-1.0,-6.0,98497.41358903341,85649.997,12847.416589033412,0.18772602082191783,-750.0
2020-01-23,28.25,28.0,0.0,-6.0,99247.22947944437,84000.0,15247.229479444373,0.1841095890410959,750.0
2020-01-24,28.0,28.1,-1.0,-6.0,98947.04471232109,84300.00000000001,14647.044712321076,0.18476712328767125,-300.00000000000426
2020-01-29,27.25,27.299999,0.0,-6.0,98796.86820547834,81899.997,16896.87120547834,0.17950684273972606,-149.99699999999905
2020-01-30,27.200001,26.65,0.0,-6.0,100446.69597260164,79949.99999999999,20496.69597260165,0.17523287671232876,1650.0030000000052
2020-01-31,26.9,26.5,-1.0,-6.0,101646.52172602629,79500.0,22146.521726026287,0.17424657534246576,1199.9999999999957
2020-02-03,26.4,26.5,0.0,-6.0,101346.34747945094,79500.0,21846.34747945094,0.17424657534246576,-300.00000000000426
2020-02-04,26.65,26.85,0.0,-6.0,100746.17093150572,80550.00000000001,20196.17093150571,0.17654794520547948,-600.0000000000085
