,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2019-12-16,27.799999,27.700001,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-17,27.9,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-18,28.049999,28.049999,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-19,28.15,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-20,28.0,28.15,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-23,28.200001,28.1,1.0,7.0,99649.78093835617,98350.00000000001,1299.7809383561544,0.2155616438356165,-350.00349999999617
2019-12-24,28.1,28.0,0.0,7.0,99299.56614383562,98000.0,1299.5661438356183,0.21479452054794523,-350.000000000005
2019-12-27,28.299999,28.4,0.0,7.0,99649.35178082192,99399.99999999999,249.35178082193306,0.21786301369863012,350.00349999999617
2019-12-30,28.450001,28.549999,0.0,7.0,99999.12576713096,99924.9965,74.12926713096385,0.21901369095890408,349.9929999999978
2019-12-31,28.549999,28.549999,0.0,7.0,99998.90675344,99924.9965,73.91025344000082,0.21901369095890408,0.0
2020-01-02,28.5,28.700001,0.0,7.0,100698.69008904877,100450.0035,248.68658904876793,0.22016439123287673,700.0035000000012
2020-01-03,29.0,28.65,1.0,7.0,99473.47030822685,100274.99999999999,-801.5296917731321,0.2197808219178082,-1225.000000000005
2020-01-06,28.450001,28.450001,0.0,7.0,99473.25206164384,99575.0035,-101.75143835616473,0.21824658301369868,0.0
2020-01-07,28.549999,28.450001,0.0,7.0,99123.04081506083,99575.0035,-451.96268493917887,0.21824658301369868,-349.9929999999978
2020-01-08,28.1,28.25,-1.0,-7.0,98597.82410273206,98875.0,-277.1758972679381,0.21671232876712332,-524.999999999995
2020-01-09,28.549999,28.799999,1.0,6.0,99347.63473287562,86399.997,12947.63773287562,0.1893698564383562,750.0
2020-01-10,28.85,28.799999,1.0,6.0,99197.44236301917,86399.997,12797.445363019171,0.1893698564383562,-150.00300000000522
2020-01-13,28.9,29.15,1.0,6.0,99947.25069178629,87449.99999999999,12497.250691786307,0.1916712328767123,750.0
2020-01-14,29.35,29.049999,1.0,6.0,99047.05667809423,87149.997,11897.059678094229,0.19101369205479451,-900.0030000000052
2020-01-15,29.1,28.950001,0.0,6.0,98596.86932192327,86850.003,11746.86632192327,0.19035617095890411,-449.9970000000033
2020-01-16,29.0,29.0,0.0,6.0,98596.67863699175,87000.0,11596.678636991754,0.19068493150684934,0.0
2020-01-17,29.15,29.200001,1.0,6.0,98746.48963698519,87600.003,11146.486636985195,0.19200000657534247,150.00300000000522
2020-01-20,29.299999,28.950001,1.0,6.0,97696.30528081424,86850.003,10846.302280814241,0.19035617095890411,-1049.993999999998
2020-01-21,28.799999,28.15,0.0,6.0,95746.12318492382,84449.99999999999,11296.12318492384,0.18509589041095886,-1949.9970000000033
2020-01-22,28.299999,28.549999,0.0,6.0,96495.935458903,85649.997,10845.938458902994,0.18772602082191783,750.0
2020-01-23,28.25,28.0,-1.0,-6.0,97245.75134931396,84000.0,13245.751349313956,0.1841095890410959,750.0
2020-01-24,28.0,28.1,0.0,-6.0,96945.56658219067,84300.00000000001,12645.566582190659,0.18476712328767125,-300.00000000000426
2020-01-29,27.25,27.299999,-1.0,-6.0,96795.39007534792,81899.997,14895.393075347922,0.17950684273972606,-149.99699999999905
2020-01-30,27.200001,26.65,-1.0,-6.0,98445.21784247122,79949.99999999999,18495.217842471233,0.17523287671232876,1650.0030000000052
2020-01-31,26.9,26.5,0.0,-6.0,99645.04359589587,79500.0,20145.04359589587,0.17424657534246576,1199.9999999999957
