Date,Open,High,Low,Close,Adj Close,Volume
2013-5-6,3456.28,3516.87,3456.28,3514.46,3514.46,44250.0
2013-5-7,3511.21,3531.55,3495.8,3521.48,3521.48,41200.0
2013-5-8,3524.79,3554.15,3517.94,3553.85,3553.85,42310.0
2013-5-9,3551.9,3557.02,3517.59,3555.77,3555.77,49300.0
2013-5-10,3550.03,3577.33,3536.17,3577.33,3577.33,44670.0
2013-5-13,3577.29,3591.09,3565.49,3590.76,3590.76,39470.0
2013-5-14,3586.32,3586.32,3524.58,3549.3,3549.3,38080.0
2013-5-15,3549.74,3597.24,3548.55,3597.11,3597.11,36490.0
2013-5-16,3594.3,3647.49,3578.09,3635.76,3635.76,52390.0
2013-5-17,3632.61,3695.24,3631.26,3691.4,3691.4,59400.0
2013-5-20,3700.09,3740.58,3686.76,3737.75,3737.75,66800.0
2013-5-21,3733.67,3787.1,3727.67,3787.06,3787.06,67690.0
2013-5-22,3782.97,3795.17,3740.22,3755.87,3755.87,65310.0
2013-5-23,3740.44,3783.97,3716.29,3724.23,3724.23,57810.0
2013-5-24,3723.62,3782.17,3723.62,3782.07,3782.07,50240.0
2013-5-27,3784.47,3820.59,3782.27,3820.43,3820.43,55530.0
2013-5-28,3820.24,3829.97,3770.65,3827.78,3827.78,60070.0
2013-5-29,3830.22,3858.92,3828.29,3856.32,3856.32,58320.0
2013-5-30,3843.16,3872.26,3835.22,3865.13,3865.13,54460.0
2013-5-31,3867.59,3884.68,3840.7,3841.22,3841.22,55070.0
2013-6-3,3836.77,3855.79,3803.36,3814.51,3814.51,48390.0
2013-6-4,3809.56,3811.65,3707.56,3739.72,3739.72,49250.0
2013-6-5,3733.95,3759.52,3718.12,3755.15,3755.15,36620.0
2013-6-6,3742.5,3742.5,3686.25,3688.74,3688.74,38810.0
2013-6-7,3690.96,3701.22,3593.97,3616.21,3616.21,40710.0
2013-6-13,3573.9,3573.9,3446.25,3515.05,3515.05,37240.0
2013-6-14,3519.37,3591.25,3519.33,3584.98,3584.98,34640.0
2013-6-17,3593.51,3620.95,3565.28,3593.37,3593.37,35650.0
2013-6-18,3594.9,3613.03,3557.46,3605.76,3605.76,31330.0
2013-6-19,3588.77,3588.77,3525.45,3583.3,3583.3,32900.0
2013-6-20,3562.13,3566.36,3463.13,3465.0,3465.0,33020.0
2013-6-21,3401.47,3464.59,3347.76,3446.48,3446.48,32290.0
2013-6-24,3439.87,3439.87,3200.67,3232.96,3232.96,40540.0
2013-6-25,3202.66,3243.4,2981.69,3219.13,3219.13,51550.0
2013-6-26,3222.68,3285.82,3200.16,3285.82,3285.82,39900.0
2013-6-27,3293.08,3339.86,3231.15,3233.22,3233.22,44970.0
2013-6-28,3212.25,3292.91,3176.24,3235.98,3235.98,38640.0
2013-7-1,3226.62,3304.59,3210.66,3304.59,3304.59,35330.0
2013-7-2,3304.99,3359.12,3295.33,3359.05,3359.05,40390.0
2013-7-3,3346.11,3372.63,3288.02,3364.18,3364.18,44310.0
2013-7-4,3342.01,3427.38,3325.27,3390.49,3390.49,46940.0
2013-7-5,3392.58,3427.98,3371.31,3371.53,3371.53,43950.0
2013-7-8,3322.14,3322.14,3240.11,3240.48,3240.48,39950.0
2013-7-9,3231.7,3263.39,3210.73,3259.91,3259.91,30100.0
2013-7-10,3259.85,3361.4,3257.9,3361.4,3361.4,41860.0
2013-7-11,3364.84,3484.79,3364.23,3455.88,3455.88,63320.0
2013-7-12,3453.44,3490.5,3424.28,3425.14,3425.14,51810.0
2013-7-15,3432.26,3493.72,3431.5,3493.44,3493.44,46590.0
2013-7-16,3496.73,3536.31,3474.36,3536.31,3536.31,49320.0
2013-7-17,3529.71,3552.37,3474.36,3485.07,3485.07,50050.0
2013-7-18,3476.18,3505.19,3445.33,3481.2,3481.2,45980.0
2013-7-19,3479.53,3510.11,3394.31,3394.31,3394.31,50990.0
2013-7-22,3374.57,3461.7,3359.39,3461.28,3461.28,41990.0
2013-7-23,3470.6,3545.05,3470.6,3544.97,3544.97,53540.0
2013-7-24,3536.16,3575.0,3500.08,3566.28,3566.28,56550.0
2013-7-25,3561.51,3572.55,3496.31,3498.24,3498.24,50870.0
2013-7-26,3486.96,3520.49,3449.61,3494.16,3494.16,39360.0
2013-7-29,3477.26,3484.64,3423.77,3426.59,3426.59,39190.0
2013-7-30,3426.96,3449.54,3349.55,3411.22,3411.22,36590.0
2013-7-31,3428.13,3462.1,3418.71,3430.74,3430.74,35830.0
2013-8-1,3435.08,3521.16,3429.72,3521.15,3521.15,44230.0
2013-8-2,3535.89,3563.19,3528.64,3533.61,3533.61,47260.0
2013-8-5,3531.65,3592.87,3528.85,3592.54,3592.54,41720.0
2013-8-6,3589.52,3638.71,3581.53,3631.12,3631.12,49800.0
2013-8-7,3628.0,3644.21,3589.34,3596.32,3596.32,52620.0
2013-8-8,3589.16,3627.25,3577.58,3605.85,3605.85,42450.0
2013-8-9,3611.78,3637.91,3570.78,3618.74,3618.74,44360.0
2013-8-12,3629.51,3676.2,3628.95,3676.19,3676.19,56490.0
2013-8-13,3677.12,3695.56,3669.49,3695.55,3695.55,52650.0
2013-8-14,3694.68,3706.77,3662.04,3681.08,3681.08,52980.0
2013-8-15,3674.65,3686.26,3629.34,3631.32,3631.32,43740.0
2013-8-16,3611.28,3688.69,3550.82,3554.35,3554.35,53640.0
2013-8-19,3528.91,3609.17,3522.15,3609.03,3609.03,38470.0
2013-8-20,3606.61,3634.05,3580.19,3599.64,3599.64,43160.0
2013-8-21,3596.93,3627.91,3577.82,3627.5,3627.5,42620.0
2013-8-22,3621.89,3650.11,3615.71,3636.47,3636.47,46130.0
2013-8-23,3644.68,3654.73,3560.13,3627.97,3627.97,54840.0
2013-8-26,3629.36,3703.79,3627.31,3703.59,3703.59,53520.0
2013-8-27,3702.58,3732.22,3691.16,3732.1,3732.1,57470.0
2013-8-28,3707.53,3740.13,3680.5,3703.92,3703.92,70210.0
2013-8-29,3703.05,3715.85,3679.08,3701.08,3701.08,62940.0
2013-8-30,3702.85,3727.3,3645.36,3664.15,3664.15,77070.0
2013-9-2,3674.68,3695.09,3633.46,3689.96,3689.96,62860.0
2013-9-3,3685.34,3745.23,3680.15,3744.87,3744.87,59630.0
2013-9-4,3747.23,3766.41,3734.78,3755.24,3755.24,62360.0
2013-9-5,3749.94,3776.0,3741.46,3762.57,3762.57,60680.0
2013-9-6,3758.9,3799.07,3754.64,3792.83,3792.83,60600.0
2013-9-9,3799.45,3835.48,3793.11,3831.93,3831.93,72930.0
2013-9-10,3836.47,3871.19,3832.32,3870.92,3870.92,81060.0
2013-9-11,3876.59,3876.77,3814.28,3834.26,3834.26,88030.0
2013-9-12,3824.75,3857.52,3815.74,3845.07,3845.07,67270.0
2013-9-13,3846.45,3858.43,3825.18,3849.82,3849.82,64870.0
2013-9-16,3852.36,3870.73,3836.41,3854.21,3854.21,55680.0
2013-9-17,3851.66,3851.66,3785.23,3786.29,3786.29,57560.0
2013-9-18,3780.7,3823.01,3776.7,3822.12,3822.12,44460.0
2013-9-23,3830.95,3899.86,3830.95,3899.63,3899.63,56530.0
2013-9-24,3897.41,3915.98,3864.44,3903.52,3903.52,65080.0
2013-9-25,3899.61,3930.6,3881.6,3889.22,3889.22,70190.0
2013-9-26,3879.48,3883.39,3806.64,3808.22,3808.22,59030.0
2013-9-27,3805.5,3841.54,3802.9,3822.76,3822.76,43550.0
2013-9-30,3834.17,3873.49,3834.01,3872.89,3872.89,39460.0
2013-10-8,3875.52,3938.07,3866.68,3938.07,3938.07,55130.0
2013-10-9,3928.4,3981.45,3915.73,3981.06,3981.06,60210.0
2013-10-10,3990.78,4000.49,3947.84,3959.63,3959.63,69810.0
2013-10-11,3975.11,4027.32,3975.11,4026.92,4026.92,72020.0
2013-10-14,4034.19,4069.78,4024.59,4068.32,4068.32,74690.0
2013-10-15,4074.83,4080.11,4043.79,4074.08,4074.08,75670.0
2013-10-16,4063.82,4063.82,3941.59,3963.21,3963.21,77840.0
2013-10-17,3980.47,4010.62,3944.97,3956.96,3956.96,66320.0
2013-10-18,3954.58,3978.34,3937.24,3970.64,3970.64,50780.0
2013-10-21,3977.26,4069.22,3968.39,4069.03,4069.03,66060.0
2013-10-22,4070.66,4089.1,4014.27,4026.52,4026.52,73650.0
2013-10-23,4026.56,4039.42,3906.51,3924.22,3924.22,67710.0
2013-10-24,3914.24,3933.73,3889.34,3898.16,3898.16,44940.0
2013-10-25,3902.23,3916.92,3796.07,3821.78,3821.78,49910.0
2013-10-28,3820.67,3828.72,3785.91,3808.7,3808.7,39570.0
2013-10-29,3801.93,3827.12,3600.43,3703.86,3703.86,55740.0
2013-10-30,3694.31,3764.6,3688.39,3764.45,3764.45,41550.0
2013-10-31,3757.81,3757.81,3710.69,3713.83,3713.83,41790.0
2013-11-1,3698.47,3720.44,3661.74,3702.45,3702.45,33390.0
2013-11-4,3705.45,3744.59,3705.43,3728.19,3728.19,32850.0
2013-11-5,3719.94,3777.63,3688.21,3777.4,3777.4,39500.0
2013-11-6,3768.73,3799.83,3737.11,3737.11,3737.11,45100.0
2013-11-7,3722.24,3734.86,3677.53,3685.04,3685.04,34820.0
