Date,Open,High,Low,Close,Adj Close,Volume
2011-1-4,1994.36,2021.93,1985.32,2015.11,2015.11,3290000000.0
2011-1-5,1999.18,2011.51,1993.21,1999.22,1999.22,2890000000.0
2011-1-6,1999.75,2010.56,1978.82,1984.28,1984.28,2090000000.0
2011-1-7,1983.24,2035.88,1969.32,2006.37,2006.37,3960000000.0
2011-1-10,2001.4,2019.71,1973.8,1975.74,1975.74,2750000000.0
2011-1-11,1969.49,2004.03,1968.22,1999.76,1999.76,2510000000.0
2011-1-12,2006.05,2021.37,1987.42,2017.15,2017.15,2630000000.0
2011-1-13,2024.71,2026.15,2007.95,2014.17,2014.17,2230000000.0
2011-1-14,2005.31,2006.65,1978.5,1982.62,1982.62,2050000000.0
2011-1-17,1968.95,1978.14,1912.07,1918.42,1918.42,2750000000.0
2011-1-18,1915.76,1929.77,1905.46,1923.69,1923.69,1690000000.0
2011-1-19,1923.54,1954.28,1913.11,1953.35,1953.35,1930000000.0
2011-1-20,1947.81,1947.81,1894.38,1895.0,1895.0,2130000000.0
2011-1-21,1890.76,1959.97,1890.76,1925.84,1925.84,3030000000.0
2011-1-24,1926.39,1937.38,1905.7,1911.75,1911.75,2570000000.0
2011-1-25,1910.22,1921.54,1899.05,1911.31,1911.31,1970000000.0
2011-1-26,1912.34,1929.32,1910.66,1926.04,1926.04,1460000000.0
2011-1-27,1911.1,1954.92,1899.89,1949.37,1949.37,3050000000.0
2011-1-28,1944.4,1952.84,1929.87,1945.14,1945.14,2380000000.0
2011-1-31,1944.74,1965.56,1941.08,1964.11,1964.11,2280000000.0
2011-2-1,1968.71,1972.99,1959.32,1968.69,1968.69,1730000000.0
2011-2-9,1958.25,1976.76,1940.38,1943.0,1943.0,1970000000.0
2011-2-10,1939.72,1977.01,1932.13,1975.98,1975.98,2000000000.0
2011-2-11,1972.45,1982.39,1964.99,1976.47,1976.47,2530000000.0
2011-2-14,1976.28,2053.02,1976.28,2047.69,2047.69,4890000000.0
2011-2-15,2050.02,2070.94,2040.91,2042.64,2042.64,4210000000.0
2011-2-16,2038.4,2051.82,2023.86,2051.49,2051.49,3280000000.0
2011-2-17,2054.88,2065.77,2035.37,2046.98,2046.98,2880000000.0
2011-2-18,2043.68,2047.89,2025.34,2030.32,2030.32,2320000000.0
2011-2-21,2019.56,2046.74,2017.64,2046.08,2046.08,2710000000.0
2011-2-22,2051.81,2053.33,1989.73,1991.01,1991.01,3800000000.0
2011-2-23,1984.12,1998.09,1981.19,1995.68,1995.68,2550000000.0
2011-2-24,1993.88,2008.89,1985.8,2002.83,2002.83,2300000000.0
2011-2-25,2003.4,2019.45,1985.76,2006.66,2006.66,2140000000.0
2011-2-28,2009.08,2023.89,1990.58,2021.85,2021.85,2290000000.0
2011-3-1,2022.72,2048.98,2020.53,2035.37,2035.37,3100000000.0
2011-3-2,2024.23,2050.16,2019.48,2040.89,2040.89,3090000000.0
2011-3-3,2046.3,2083.24,2042.15,2051.65,2051.65,4920000000.0
2011-3-4,2053.01,2083.3,2049.73,2080.14,2080.14,3210000000.0
2011-3-7,2092.32,2127.1,2092.32,2123.28,2123.28,4560000000.0
2011-3-8,2123.75,2135.85,2108.04,2123.78,2123.78,3030000000.0
2011-3-9,2129.7,2139.23,2113.53,2120.21,2120.21,2650000000.0
