Date,OO,OO_bi_0,OO_ter_0.005,OO_ter_0.01,OC,OC_bi_0,OC_ter_0.005,OC_ter_0.01,CO,CO_bi_0,CO_ter_0.005,CO_ter_0.01,CC,CC_bi_0,CC_ter_0.005,CC_ter_0.01
2012-12-03,0.005514458725337,buy,buy,neutral,-0.0082713321557314,sell,sell,neutral,0.0018178900595413,buy,neutral,neutral,-0.011917220175255,sell,sell,sell
2012-12-04,-0.0128846161504381,sell,sell,sell,-0.0122547967644433,sell,sell,sell,0.0008370465366111,buy,neutral,neutral,0.0014756208962489,buy,neutral,neutral
2012-12-05,0.0015119501889286,buy,neutral,neutral,0.0222545799584525,buy,buy,buy,0.0008733526645185,buy,neutral,neutral,0.0216027562393692,buy,buy,buy
2012-12-06,0.0246061056455841,buy,buy,buy,0.0197442865591778,buy,buy,buy,0.0038157609255206,buy,neutral,neutral,-0.0009474066945162,sell,neutral,neutral
2012-12-07,-0.0027357512736086,sell,neutral,neutral,-0.0073681118720806,sell,sell,neutral,0.002018890083597,buy,neutral,neutral,-0.0026355561489594,sell,neutral,neutral
2012-12-10,0.0037152311951518,buy,neutral,neutral,-0.000807803693803,sell,neutral,neutral,0.0083993149372564,buy,buy,neutral,0.0038551721946695,buy,neutral,neutral
2012-12-11,-0.0036451834117098,sell,neutral,neutral,-0.002396199247799,sell,neutral,neutral,0.0008650075344032,buy,neutral,neutral,0.0021196454643961,buy,neutral,neutral
2012-12-12,0.0052435507470645,buy,buy,neutral,0.0093002989694668,buy,buy,neutral,0.003985001737117,buy,neutral,neutral,0.0080366709749737,buy,buy,neutral
2012-12-13,0.0039303187992056,buy,neutral,neutral,0.0014580749001887,buy,neutral,neutral,-0.0001048455026009,sell,neutral,neutral,-0.0025671525463005,sell,neutral,neutral
2012-12-14,-0.0046339974447304,sell,neutral,neutral,0.0046660272850838,buy,neutral,neutral,-0.0021767927061781,sell,neutral,neutral,0.0071461904778893,buy,buy,neutral
2012-12-17,0.0086637264924649,buy,buy,neutral,0.0052190083282455,buy,buy,neutral,-0.0006733042676932,sell,neutral,neutral,-0.004086135254239,sell,neutral,neutral
2012-12-18,-0.0028905104920092,sell,neutral,neutral,-0.004250821923268,sell,neutral,neutral,0.0005264177015152,buy,neutral,neutral,-0.0008385552905152,sell,neutral,neutral
2012-12-19,0.0057352634640175,buy,buy,neutral,0.0043465571424558,buy,neutral,neutral,0.0071092170718454,buy,buy,neutral,0.0057186136128062,buy,buy,neutral
2012-12-20,-0.0022803334131953,sell,neutral,neutral,0.0002263952946333,buy,neutral,neutral,-0.0009007900690355,sell,neutral,neutral,0.0016094046834349,buy,neutral,neutral
2012-12-21,-0.0016767865769972,sell,neutral,neutral,-0.0042782468546102,sell,neutral,neutral,-0.0041787456040253,sell,neutral,neutral,-0.0067736862025027,sell,sell,neutral
2012-12-24,-0.003118928696377,sell,neutral,neutral,-0.0010596082894224,sell,neutral,neutral,-0.0005144395403368,sell,neutral,neutral,0.0015502611249287,buy,neutral,neutral
2012-12-27,0.0093688690014979,buy,buy,neutral,0.0055599007127717,buy,buy,neutral,0.0072880502386084,buy,buy,neutral,0.0034869341562715,buy,neutral,neutral
2012-12-28,3.827892450147807e-05,buy,neutral,neutral,-0.0017119711357984,sell,neutral,neutral,0.0038263318184522,buy,neutral,neutral,0.0020694519721271,buy,neutral,neutral
2012-12-31,-0.0053681341097665,sell,sell,neutral,-0.0021760520559683,sell,neutral,neutral,-0.0036242942229641,sell,neutral,neutral,-0.0004266156462731,sell,neutral,neutral
2013-01-02,0.012212414988092,buy,buy,buy,0.0322142604927186,buy,buy,buy,0.0089743036046434,buy,buy,neutral,0.0289121623386481,buy,buy,buy
2013-01-03,0.0231969931431195,buy,buy,buy,0.0235495941372032,buy,buy,buy,0.0033698807295806,buy,neutral,neutral,0.0037156491590712,buy,neutral,neutral
2013-01-04,-0.0008627286205794,sell,neutral,neutral,-0.0025415925041808,sell,neutral,neutral,-0.0012069198518908,sell,neutral,neutral,-0.0028852053863065,sell,neutral,neutral
2013-01-07,-0.0010765840544546,sell,neutral,neutral,-0.0017376444387689,sell,neutral,neutral,0.0006047456460238,buy,neutral,neutral,-5.742739661851459e-05,sell,neutral,neutral
