,RFImportance
HSI_daily_ret,0.11305224091673524
HSI_disc_stoch_k_3,0.057715668962679656
HSI_stoch_k,0.05166122763344898
HSI_disc_macd_1,0.039414674834314004
HSI_intraday_ret,0.03919900185197418
HSI_overnight_ret,0.036151163955895585
HSI_rsi,0.025559952622263665
CSI300_overnight_ret,0.025226150955475795
SSE50_overnight_ret,0.021491194299346386
HSI_ret_range,0.019867862018375693
SSE50_daily_ret,0.01739956245290056
CSI300_daily_ret,0.016773824725210273
HSI_disc_stoch_k_1,0.014141062841749947
HSI_macd,0.01319639259504679
CSI300_stoch_k,0.013157204099522155
HSI_intraday_overnight_ret_diff,0.012928413240596662
CSI300_rsi,0.012405357464500133
HKD2CNY_ret_range,0.011999485050173921
VIX_overnight_ret,0.011838429114431984
CSI300_macd,0.01182432533773759
VIX_ret_range,0.011755685395040467
S&P500_overnight_ret,0.011413201864973434
NASDAQ_ret_range,0.01138962175507338
NASDAQ_overnight_ret,0.011312359672433821
SPDRGoldShares_ret_range,0.011017295777642622
S&P500_ret_range,0.010679321933996209
HIBOR_daily_ret,0.010672873737916342
CSI300_ret_range,0.010559394709173772
USD2CNY_ret_range,0.010482586280721257
iPathS&PGSCITotalReturnIndex_ret_range,0.010380888790427386
iPathS&PGSCITotalReturnIndex_overnight_ret,0.010332669470164604
SSE50_intraday_ret,0.010322437910977894
CSI300_intraday_ret,0.010321727179487403
USD2HKD_intraday_ret,0.010307223947047117
iPathS&PGSCITotalReturnIndex_intraday_ret,0.010221818124665565
iPathS&PGSCITotalReturnIndex_intraday_overnight_ret_diff,0.01018428783799271
SSE50_intraday_overnight_ret_diff,0.010175577827915656
USD2HKD_ret_range,0.01003826446687302
iPathS&PGSCITotalReturnIndex_daily_ret,0.010000565340404593
USD2HKD_daily_ret,0.009990413250532366
USD2HKD_overnight_ret,0.009909187352938276
HKD2CNY_intraday_ret,0.009886467341269408
SPDRGoldShares_intraday_overnight_ret_diff,0.009885701785445629
CSI300_intraday_overnight_ret_diff,0.0098362916419292
SPDRGoldShares_intraday_ret,0.009723995569829233
SSE50_ret_range,0.00969701295415958
USD2HKD_intraday_overnight_ret_diff,0.009659449370045937
VIX_daily_ret,0.00963359274494126
SPDRGoldShares_daily_ret,0.009498998746961279
SPDRGoldShares_overnight_ret,0.009463997280731721
HKD2CNY_daily_ret,0.009397523269073917
NASDAQ_intraday_ret,0.009369286087190907
USD2CNY_overnight_ret,0.00935109087948288
HKD2CNY_intraday_overnight_ret_diff,0.009285872725326914
HKD2CNY_overnight_ret,0.00922041518349542
VIX_intraday_ret,0.009217009560771223
S&P500_daily_ret,0.009190088522971908
NASDAQ_daily_ret,0.009163733190040537
USD2CNY_intraday_overnight_ret_diff,0.009161036964926005
USD2CNY_daily_ret,0.00906258138462132
S&P500_intraday_ret,0.008967598146637553
CSI300_disc_stoch_k_3,0.007929956825992266
USD2CNY_intraday_ret,0.004902041858365358
CSI300_disc_macd_1,0.004101707393350378
HSI_disc_macd_9,0.0021680314283036395
HSI_disc_rsi_ter,0.0018348658263946933
CSI300_disc_stoch_k_1,0.0017310029877008876
CSI300_disc_macd_9,0.0011778314041747642
CSI300_disc_rsi_ter,0.001012221327089102
